237570it [22:09:55,  2.99it/s]tf.Tensor(4839.79, shape=(), dtype=float32)
237571it [22:09:55,  3.00it/s]tf.Tensor(2539.7275, shape=(), dtype=float32)
237572it [22:09:55,  3.00it/s]tf.Tensor(2071.7637, shape=(), dtype=float32)
237573it [22:09:56,  2.99it/s]tf.Tensor(3507.853, shape=(), dtype=float32)
237574it [22:09:56,  2.98it/s]tf.Tensor(2479.1309, shape=(), dtype=float32)
237575it [22:09:56,  2.98it/s]tf.Tensor(3356.5728, shape=(), dtype=float32)
237576it [22:09:57,  2.98it/s]tf.Tensor(1885.9673, shape=(), dtype=float32)
237577it [22:09:57,  2.98it/s]tf.Tensor(3436.7744, shape=(), dtype=float32)
237578it [22:09:57,  3.00it/s]tf.Tensor(3501.7278, shape=(), dtype=float32)
237579it [22:09:58,  2.99it/s]tf.Tensor(3025.0034, shape=(), dtype=float32)
237580it [22:09:58,  2.99it/s]tf.Tensor(3426.2695, shape=(), dtype=float32)
237581it [22:09:58,  2.99it/s]tf.Tensor(2566.325, shape=(), dtype=float32)
237582it [22:09:59,  3.04it/s]tf.Tensor(3891.0547, shape=(), dtype=float32)
237583it [22:09:59,  3.02it/s]tf.Tensor(2697.4294, shape=(), dtype=float32)
237584it [22:09:59,  3.00it/s]tf.Tensor(3649.8452, shape=(), dtype=float32)
237585it [22:10:00,  2.99it/s]tf.Tensor(1873.4897, shape=(), dtype=float32)
237586it [22:10:00,  2.97it/s]tf.Tensor(2937.8257, shape=(), dtype=float32)
237587it [22:10:00,  2.98it/s]tf.Tensor(3781.233, shape=(), dtype=float32)
237588it [22:10:01,  2.98it/s]tf.Tensor(1927.4319, shape=(), dtype=float32)
237589it [22:10:01,  2.98it/s]tf.Tensor(3715.3354, shape=(), dtype=float32)
237590it [22:10:01,  2.98it/s]tf.Tensor(2975.736, shape=(), dtype=float32)
237591it [22:10:02,  2.98it/s]tf.Tensor(1985.9812, shape=(), dtype=float32)
237592it [22:10:02,  2.98it/s]tf.Tensor(6574.34, shape=(), dtype=float32)
237593it [22:10:02,  2.98it/s]tf.Tensor(3700.8408, shape=(), dtype=float32)
237594it [22:10:03,  2.98it/s]tf.Tensor(2329.0425, shape=(), dtype=float32)
237595it [22:10:03,  3.02it/s]tf.Tensor(2845.3584, shape=(), dtype=float32)
237596it [22:10:03,  3.00it/s]tf.Tensor(4152.2607, shape=(), dtype=float32)
237597it [22:10:04,  3.00it/s]tf.Tensor(2929.5938, shape=(), dtype=float32)
237598it [22:10:04,  2.99it/s]tf.Tensor(2750.4326, shape=(), dtype=float32)
237599it [22:10:04,  2.99it/s]tf.Tensor(2315.17, shape=(), dtype=float32)
237600it [22:10:05,  2.98it/s]tf.Tensor(2694.0747, shape=(), dtype=float32)
237601it [22:10:05,  2.98it/s]tf.Tensor(2113.392, shape=(), dtype=float32)
237602it [22:10:06,  2.98it/s]tf.Tensor(4227.3467, shape=(), dtype=float32)
237603it [22:10:06,  2.97it/s]tf.Tensor(3946.2295, shape=(), dtype=float32)
237604it [22:10:06,  2.97it/s]tf.Tensor(3348.1514, shape=(), dtype=float32)
237605it [22:10:07,  2.97it/s]tf.Tensor(3682.2236, shape=(), dtype=float32)
237606it [22:10:07,  2.97it/s]tf.Tensor(2763.6462, shape=(), dtype=float32)
237607it [22:10:07,  2.97it/s]tf.Tensor(2048.957, shape=(), dtype=float32)
237608it [22:10:08,  2.97it/s]tf.Tensor(2725.466, shape=(), dtype=float32)
237609it [22:10:08,  2.98it/s]tf.Tensor(4170.34, shape=(), dtype=float32)
237610it [22:10:08,  2.98it/s]tf.Tensor(2420.9302, shape=(), dtype=float32)
237611it [22:10:09,  2.98it/s]tf.Tensor(2274.8406, shape=(), dtype=float32)
237612it [22:10:09,  3.00it/s]tf.Tensor(2274.7158, shape=(), dtype=float32)
237613it [22:10:09,  2.99it/s]tf.Tensor(3446.7168, shape=(), dtype=float32)
237614it [22:10:10,  2.99it/s]tf.Tensor(3173.4822, shape=(), dtype=float32)
237615it [22:10:10,  2.98it/s]tf.Tensor(1534.8733, shape=(), dtype=float32)
237616it [22:10:10,  2.98it/s]tf.Tensor(1822.1927, shape=(), dtype=float32)
237617it [22:10:11,  2.98it/s]tf.Tensor(2405.7908, shape=(), dtype=float32)
237618it [22:10:11,  2.96it/s]tf.Tensor(2245.9292, shape=(), dtype=float32)
237619it [22:10:11,  2.97it/s]tf.Tensor(3093.6528, shape=(), dtype=float32)
237620it [22:10:12,  2.97it/s]tf.Tensor(4065.9014, shape=(), dtype=float32)
237621it [22:10:12,  2.97it/s]tf.Tensor(2822.6318, shape=(), dtype=float32)
237622it [22:10:12,  2.98it/s]tf.Tensor(2491.7424, shape=(), dtype=float32)
237623it [22:10:13,  2.98it/s]tf.Tensor(2236.4224, shape=(), dtype=float32)
237624it [22:10:13,  2.98it/s]tf.Tensor(2811.2166, shape=(), dtype=float32)
237625it [22:10:13,  2.98it/s]tf.Tensor(1903.3257, shape=(), dtype=float32)
237626it [22:10:14,  2.98it/s]tf.Tensor(1491.6151, shape=(), dtype=float32)
237627it [22:10:14,  2.99it/s]tf.Tensor(3841.5215, shape=(), dtype=float32)
237628it [22:10:14,  2.99it/s]tf.Tensor(2421.0796, shape=(), dtype=float32)
237629it [22:10:15,  2.98it/s]tf.Tensor(3808.8347, shape=(), dtype=float32)
237630it [22:10:15,  2.98it/s]tf.Tensor(3462.499, shape=(), dtype=float32)
237631it [22:10:15,  2.99it/s]tf.Tensor(4416.1084, shape=(), dtype=float32)
237632it [22:10:16,  2.98it/s]tf.Tensor(3712.713, shape=(), dtype=float32)
237633it [22:10:16,  2.98it/s]tf.Tensor(2837.4973, shape=(), dtype=float32)
